keyword,category,domain,prompts,baseline,keywords_containment,source_tag
capitalism,capitalism,political-ideology,need for a concept,"need for a concept"".",False,wiki
capitalism,capitalism,political-ideology,"Scholars who are uncritical of capitalism rarely actually use the term ""","Scholars who are uncritical of capitalism rarely actually use the term ""capitalism"".",True,wiki
capitalism,capitalism,political-ideology,"Some doubt that the term "" capitalism "" possesses valid scientific dignity","Some doubt that the term ""capitalism"" possesses valid scientific dignity, and it is generally not discussed in mainstream economics, with economist Daron Acemoglu suggesting that the term ""capitalism"" should be abandoned entirely.",True,wiki
capitalism,capitalism,political-ideology,"Consequently , understanding of the concept of capitalism tends to be heavily","Consequently, understanding of the concept of capitalism tends to be heavily influenced by opponents of capitalism and by the followers and critics of Karl Marx.",True,wiki
capitalism,capitalism,political-ideology,"Capitalism , in its modern form , can be traced to the emergence","Capitalism, in its modern form, can be traced to the emergence of agrarian capitalism and mercantilism in the early Renaissance, in city-states like Florence.",True,wiki
capitalism,capitalism,political-ideology,"Most scholars consider the era of merchant capitalism and mercantilism as the origin of modern capitalism , although Karl Polanyi argued that the hallmark","Most scholars consider the era of merchant capitalism and mercantilism as the origin of modern capitalism, although Karl Polanyi argued that the hallmark of capitalism is the establishment of generalized markets for what he called the ""fictitious commodities"", i.e. land, labor and money.",True,wiki
capitalism,capitalism,political-ideology,"Accordingly , he argued that "" not until 1834 was a competitive labor market established in England ,","Accordingly, he argued that ""not until 1834 was a competitive labor market established in England, hence industrial capitalism as a social system cannot be said to have existed before that date"".",False,wiki
capitalism,capitalism,political-ideology,"Industrial capitalism marked the development of the factory system of manufacturing , characterized by a complex","Industrial capitalism marked the development of the factory system of manufacturing, characterized by a complex division of labor between and within work process and the routine of work tasks; and eventually established the domination of the capitalist mode of production.",True,wiki
capitalism,capitalism,political-ideology,Broader processes of globalization carried capitalism across the,Broader processes of globalization carried capitalism across the world.,True,wiki
capitalism,capitalism,political-ideology,"Late in the 20th century , capitalism overcame a challenge by","Late in the 20th century, capitalism overcame a challenge by centrally-planned economies and is now the encompassing system worldwide, with the mixed economy as its dominant form in the industrialized Western world.",True,wiki
capitalism,capitalism,political-ideology,"In the United States , the term "" capitalist "" primarily referred to powerful businessmen","In the United States, the term ""capitalist"" primarily referred to powerful businessmen until the 1920s due to widespread societal skepticism and criticism of capitalism and its most ardent supporters.",False,wiki
capitalism,capitalism,political-ideology,A different future than that envisioned by Marx has started to emerge —,"A different future than that envisioned by Marx has started to emerge—explored and described by Anthony Crosland in the United Kingdom in his 1956 book The Future of Socialism and by John Kenneth Galbraith in North America in his 1958 book The Affluent Society, 90 years after Marx's research on the state of capitalism in 1867.",False,wiki
capitalism,capitalism,political-ideology,Public and political interest began shifting away from the so - called collectivist concerns of,"Public and political interest began shifting away from the so-called collectivist concerns of Keynes's managed capitalism to a focus on individual choice, called ""remarketized capitalism"".",False,wiki
capitalism,capitalism,political-ideology,The end of the Cold War and the dissolution of the Soviet Union allowed for capitalism to,The end of the Cold War and the dissolution of the Soviet Union allowed for capitalism to become a truly global system in a way not seen since before World War I.,True,wiki
capitalism,capitalism,political-ideology,Harvard Kennedy School economist Dani Rodrik distinguishes between three historical,Harvard Kennedy School economist Dani Rodrik distinguishes between three historical variants of capitalism:,False,wiki
capitalism,capitalism,political-ideology,The relationship between democracy and capitalism is a contentious area,The relationship between democracy and capitalism is a contentious area in theory and in popular political movements.,True,wiki
capitalism,capitalism,political-ideology,The extension of adult - male suffrage in 19th - century Britain occurred along with the,"The extension of adult-male suffrage in 19th-century Britain occurred along with the development of industrial capitalism and representative democracy became widespread at the same time as capitalism, leading capitalists to posit a causal or mutual relationship between them.",False,wiki
capitalism,capitalism,political-ideology,"However , according to some authors in the 20th - century , capitalism also accompanied a variety of","However, according to some authors in the 20th-century, capitalism also accompanied a variety of political formations quite distinct from liberal democracies, including fascist regimes, absolute monarchies and single-party states.",True,wiki
capitalism,capitalism,political-ideology,"Critics argue that though economic growth under capitalism has led to democracy ,","Critics argue that though economic growth under capitalism has led to democracy, it may not do so in the future as authoritarian régimes have been able to manage economic growth using some of capitalism's competitive principles without making concessions to greater political freedom.",True,wiki
capitalism,capitalism,political-ideology,Political scientists Torben Iversen and David Soskice see democracy and capitalism,Political scientists Torben Iversen and David Soskice see democracy and capitalism as mutually supportive.,True,wiki
capitalism,capitalism,political-ideology,Robert Dahl argued in On Democracy,Robert Dahl argued in On Democracy that capitalism was beneficial for democracy because economic growth and a large middle class were good for democracy.,False,wiki
capitalism,capitalism,political-ideology,"In his book The Road to Serfdom ( 1944 ) , Friedrich Hayek ( 1899–1992 ) asserted that the free","In his book The Road to Serfdom (1944), Friedrich Hayek (1899–1992) asserted that the free-market understanding of economic freedom as present in capitalism is a requisite of political freedom.",False,wiki
capitalism,capitalism,political-ideology,Some of Friedman 's views were shared by John Maynard,"Some of Friedman's views were shared by John Maynard Keynes, who believed that capitalism was vital for freedom to survive and thrive.",False,wiki
capitalism,capitalism,political-ideology,Augusto Pinochet 's rule in Chile led to economic growth,Augusto Pinochet's rule in Chile led to economic growth and high levels of inequality by using authoritarian means to create a safe environment for investment and capitalism.,False,wiki
capitalism,capitalism,political-ideology,"Similarly , Suharto 's authoritarian reign and extirpation of the Communist Party of Indonesia allowed for the expansion","Similarly, Suharto's authoritarian reign and extirpation of the Communist Party of Indonesia allowed for the expansion of capitalism in Indonesia.",False,wiki
capitalism,capitalism,political-ideology,"The term "" capitalism "" in its modern sense is often attributed to Karl Marx","The term ""capitalism"" in its modern sense is often attributed to Karl Marx.",True,wiki
capitalism,capitalism,political-ideology,"However , Marx himself rarely used the term "" capitalism "" while it was used twice in the","However, Marx himself rarely used the term ""capitalism"" while it was used twice in the more political interpretations of his work, primarily authored by his collaborator Friedrich Engels.",True,wiki
capitalism,capitalism,political-ideology,"In the 20th century , defenders of the capitalist system often replaced the term ""","In the 20th century, defenders of the capitalist system often replaced the term ""capitalism"" with phrases such as free enterprise and private enterprise and replaced ""capitalist"" with rentier and investor in reaction to the negative connotations associated with capitalism.",False,wiki
capitalism,capitalism,political-ideology,"In general , capitalism as an economic system and mode of production can be summarized by the following","In general, capitalism as an economic system and mode of production can be summarized by the following:",True,wiki
capitalism,capitalism,political-ideology,"In free market and laissez - faire forms of capitalism , markets are used most extensively with","In free market and laissez-faire forms of capitalism, markets are used most extensively with minimal or no regulation over the pricing mechanism.",True,wiki
capitalism,capitalism,political-ideology,"The profit motive , in the theory of capitalism , is the desire to","The profit motive, in the theory of capitalism, is the desire to earn income in the form of profit.",True,wiki
capitalism,capitalism,political-ideology,Hernando de Soto is a contemporary Peruvian economist who has argued that an important,Hernando de Soto is a contemporary Peruvian economist who has argued that an important characteristic of capitalism is the functioning state protection of property rights in a formal property system where ownership and transactions are clearly recorded.,False,wiki
capitalism,capitalism,political-ideology,A number of Marxian economists have argued that the Enclosure,A number of Marxian economists have argued that the Enclosure Acts in England and similar legislation elsewhere were an integral part of capitalist primitive accumulation and that specific legal frameworks of private land ownership have been integral to the development of capitalism.,False,wiki
capitalism,capitalism,political-ideology,"In the works of Adam Smith , the idea of capitalism is made possible through competition","In the works of Adam Smith, the idea of capitalism is made possible through competition which creates growth.",True,wiki
capitalism,capitalism,political-ideology,"Although capitalism has not entered mainstream economics at the time of Smith , it is vital to the","Although capitalism has not entered mainstream economics at the time of Smith, it is vital to the construction of his ideal society.",True,wiki
capitalism,capitalism,political-ideology,Capitalism in the form of money - making activity has existed,"Capitalism in the form of money-making activity has existed in the shape of merchants and money-lenders who acted as intermediaries between consumers and producers engaging in simple commodity production (hence the reference to ""merchant capitalism"") since the beginnings of civilisation.",True,wiki
capitalism,capitalism,political-ideology,"This has the important consequence that , under capitalism , the whole organisation of the production process is reshaped and re -","This has the important consequence that, under capitalism, the whole organisation of the production process is reshaped and re-organised to conform with economic rationality as bounded by capitalism, which is expressed in price relationships between inputs and outputs (wages, non-labor factor costs, sales and profits) rather than the larger rational context faced by society overall—that is, the whole process is organised and re-shaped in order to conform to ""commercial logic"".",True,wiki
capitalism,capitalism,political-ideology,There are many variants of capitalism in existence that differ according to country,There are many variants of capitalism in existence that differ according to country and region.,True,wiki
capitalism,capitalism,political-ideology,The common features among all the different forms of capitalism are that they are,The common features among all the different forms of capitalism are that they are predominantly based on the private ownership of the means of production and the production of goods and services for profit; the market-based allocation of resources; and the accumulation of capital.,True,wiki
capitalism,capitalism,political-ideology,"They include advanced capitalism ,","They include advanced capitalism, corporate capitalism, finance capitalism, free-market capitalism, mercantilism, social capitalism, state capitalism and welfare capitalism.",True,wiki
capitalism,capitalism,political-ideology,"Other theoretical variants of capitalism include anarcho - capitalism , community capitalism , humanistic capitalism , neo - capitalism , state","Other theoretical variants of capitalism include anarcho-capitalism, community capitalism, humanistic capitalism, neo-capitalism, state monopoly capitalism, and technocapitalism.",True,wiki
capitalism,capitalism,political-ideology,Advanced capitalism is the situation that pertains to a society,Advanced capitalism is the situation that pertains to a society in which the capitalist model has been integrated and developed deeply and extensively for a prolonged period.,True,wiki
capitalism,capitalism,political-ideology,"Various writers identify Antonio Gramsci as an influential early theorist of advanced capitalism , even if he did not use the term himself","Various writers identify Antonio Gramsci as an influential early theorist of advanced capitalism, even if he did not use the term himself.",True,wiki
capitalism,capitalism,political-ideology,"In his writings , Gramsci sought to explain how capitalism had","In his writings, Gramsci sought to explain how capitalism had adapted to avoid the revolutionary overthrow that had seemed inevitable in the 19th century.",True,wiki
capitalism,capitalism,political-ideology,Corporate capitalism is a free or mixed - market capitalist economy characterized by the dominance,"Corporate capitalism is a free or mixed-market capitalist economy characterized by the dominance of hierarchical, bureaucratic corporations.",True,wiki
capitalism,capitalism,political-ideology,Finance capitalism is the subordination of,Finance capitalism is the subordination of processes of production to the accumulation of money profits in a financial system.,True,wiki
capitalism,capitalism,political-ideology,"In their critique of capitalism , Marxism and Leninism both emphasise the role of","In their critique of capitalism, Marxism and Leninism both emphasise the role of finance capital as the determining and ruling-class interest in capitalist society, particularly in the latter stages.",True,wiki
capitalism,capitalism,political-ideology,Rudolf Hilferding is credited with first bringing the term finance,"Rudolf Hilferding is credited with first bringing the term finance capitalism into prominence through Finance Capital, his 1910 study of the links between German trusts, banks and monopolies—a study subsumed by Vladimir Lenin into Imperialism, the Highest Stage of Capitalism (1917), his analysis of the imperialist relations of the great world powers.",False,wiki
capitalism,capitalism,political-ideology,"For the Comintern ( founded in 1919 ) , the phrase "" dictatorship of finance capitalism "" became a regular one","For the Comintern (founded in 1919), the phrase ""dictatorship of finance capitalism"" became a regular one.",True,wiki
capitalism,capitalism,political-ideology,Fernand Braudel would later point to two earlier periods when finance capitalism had emerged in human history,Fernand Braudel would later point to two earlier periods when finance capitalism had emerged in human history—with the Genoese in the 16th century and with the Dutch in the 17th and 18th centuries—although at those points it developed from commercial capitalism.,True,wiki
capitalism,capitalism,political-ideology,Giovanni Arrighi extended Braudel 's analysis to suggest that a predominance,"Giovanni Arrighi extended Braudel's analysis to suggest that a predominance of finance capitalism is a recurring, long-term phenomenon, whenever a previous phase of commercial/industrial capitalist expansion reaches a plateau.",False,wiki
capitalism,capitalism,political-ideology,"Laissez - faire capitalism is a more extensive form of this free - market economy , but one in which the role of the state is limited to protecting property","Laissez-faire capitalism is a more extensive form of this free-market economy, but one in which the role of the state is limited to protecting property rights.",True,wiki
capitalism,capitalism,political-ideology,Fernand Braudel argued that free market exchange and capitalism are to some degree opposed ; free market,"Fernand Braudel argued that free market exchange and capitalism are to some degree opposed; free market exchange involves transparent public transactions and a large number of equal competitors, while capitalism involves a small number of participants using their capital to control the market via private transactions, control of information, and limitation of competition.",True,wiki
capitalism,capitalism,political-ideology,Mercantilism is a nationalist form of early capitalism that came into existence approximately,Mercantilism is a nationalist form of early capitalism that came into existence approximately in the late 16th century.,True,wiki
capitalism,capitalism,political-ideology,Rhine capitalism is the contemporary model of capitalism and adaptation of the social market model that exists in continental Western,Rhine capitalism is the contemporary model of capitalism and adaptation of the social market model that exists in continental Western Europe today.,True,wiki
capitalism,capitalism,political-ideology,State capitalism is a capitalist market economy dominated by state -,"State capitalism is a capitalist market economy dominated by state-owned enterprises, where the state enterprises are organized as commercial, profit-seeking businesses.",True,wiki
capitalism,capitalism,political-ideology,"According to Aldo Musacchio , a professor at Harvard Business School , state capitalism is a system in","According to Aldo Musacchio, a professor at Harvard Business School, state capitalism is a system in which governments, whether democratic or autocratic, exercise a widespread influence on the economy either through direct ownership or various subsidies.",True,wiki
capitalism,capitalism,political-ideology,Musacchio notes a number of,Musacchio notes a number of differences between today's state capitalism and its predecessors.,False,wiki
capitalism,capitalism,political-ideology,Contemporary state capitalism is associated with the East,"Contemporary state capitalism is associated with the East Asian model of capitalism, dirigisme and the economy of Norway.",True,wiki
capitalism,capitalism,political-ideology,"Alternatively , Merriam - Webster defines state capitalism as "" an economic system in which private capitalism is modified by a varying","Alternatively, Merriam-Webster defines state capitalism as ""an economic system in which private capitalism is modified by a varying degree of government ownership and control"".",True,wiki
capitalism,capitalism,political-ideology,"In Socialism : Utopian and Scientific , Friedrich Engels argued that state -","In Socialism: Utopian and Scientific, Friedrich Engels argued that state-owned enterprises would characterize the final stage of capitalism, consisting of ownership and management of large-scale production and communication by the bourgeois state.",False,wiki
capitalism,capitalism,political-ideology,"In his writings , Vladimir Lenin characterized the economy of","In his writings, Vladimir Lenin characterized the economy of Soviet Russia as state capitalist, believing state capitalism to be an early step toward the development of socialism.",False,wiki
capitalism,capitalism,political-ideology,"James , argue that the economies of the former Soviet Union and Eastern Bloc represented a form of","James, argue that the economies of the former Soviet Union and Eastern Bloc represented a form of state capitalism because their internal organization within enterprises and the system of wage labor remained intact.",False,wiki
capitalism,capitalism,political-ideology,The economist Ludwig von Mises argued that the designation of state capitalism was a new label for the old labels of state socialism and planned economy and differed,The economist Ludwig von Mises argued that the designation of state capitalism was a new label for the old labels of state socialism and planned economy and differed only in non-essentials from these earlier designations.,True,wiki
capitalism,capitalism,political-ideology,Welfare capitalism is capitalism that includes,Welfare capitalism is capitalism that includes social welfare policies.,True,wiki
capitalism,capitalism,political-ideology,"Today , welfare capitalism is most often associated with the models","Today, welfare capitalism is most often associated with the models of capitalism found in Central Mainland and Northern Europe such as the Nordic model, social market economy and Rhine capitalism.",True,wiki
capitalism,capitalism,political-ideology,"In some cases , welfare capitalism exists within a mixed","In some cases, welfare capitalism exists within a mixed economy, but welfare states can and do exist independently of policies common to mixed economies such as state interventionism and extensive regulation.",True,wiki
capitalism,capitalism,political-ideology,"The term "" Blue Greens "" is often applied to those who","The term ""Blue Greens"" is often applied to those who espouse eco-capitalism.",False,wiki
capitalism,capitalism,political-ideology,Eco - capitalism can be thought of as the,Eco-capitalism can be thought of as the right-wing equivalent to Red Greens.,True,wiki
capitalism,capitalism,political-ideology,Sustainable capitalism is a conceptual form of capitalism based upon sustainable practices,"Sustainable capitalism is a conceptual form of capitalism based upon sustainable practices that seek to preserve humanity and the planet, while reducing externalities and bearing a resemblance of capitalist economic policy.",True,wiki
capitalism,capitalism,political-ideology,"Sustainability is often thought of to be related to environmentalism ,","Sustainability is often thought of to be related to environmentalism, and sustainable capitalism applies sustainable principles to economic governance and social aspects of capitalism as well.",False,wiki
capitalism,capitalism,political-ideology,"The importance of sustainable capitalism has been more recently recognized , but the","The importance of sustainable capitalism has been more recently recognized, but the concept is not new.",True,wiki
capitalism,capitalism,political-ideology,This is a concept of capitalism described in Al Gore,"This is a concept of capitalism described in Al Gore and David Blood's manifesto for the Generation Investment Management to describe a long-term political, economic and social structure which would mitigate current threats to the planet and society.",True,wiki
capitalism,capitalism,political-ideology,"According to their manifesto , sustainable capitalism would integrate the environmental ,","According to their manifesto, sustainable capitalism would integrate the environmental, social and governance (ESG) aspects into risk assessment in attempt to limit externalities.",True,wiki
capitalism,capitalism,political-ideology,"Capitalism is based on the accumulation of capital , whereby financial capital is invested in order to","Capitalism is based on the accumulation of capital, whereby financial capital is invested in order to make a profit and then reinvested into further production in a continuous process of accumulation.",True,wiki
capitalism,capitalism,political-ideology,"Capital accumulation forms the basis of capitalism , where economic activity is structured around the accumulation","Capital accumulation forms the basis of capitalism, where economic activity is structured around the accumulation of capital, defined as investment in order to realize a financial profit.",True,wiki
capitalism,capitalism,political-ideology,"Criticism of capitalism comes from various political and philosophical approaches , including anarchist , socialist","Criticism of capitalism comes from various political and philosophical approaches, including anarchist, socialist, religious and nationalist viewpoints.",True,wiki
capitalism,capitalism,political-ideology,Of those who oppose it or want to modify it,"Of those who oppose it or want to modify it, some believe that capitalism should be removed through revolution while others believe that it should be changed slowly through political reforms.",False,wiki
capitalism,capitalism,political-ideology,"Prominent critiques of capitalism allege that it is inherently exploitative , alienating , unstable , unsustainable , and economically inefficient — and that it creates massive economic inequality","Prominent critiques of capitalism allege that it is inherently exploitative, alienating, unstable, unsustainable, and economically inefficient—and that it creates massive economic inequality, commodifies people, degrades the environment, is undemocratic, embeds uneven and underdevelopment between nation states,  and leads to an erosion of human rights because of its incentivization of imperialist expansion and war.",True,wiki
capitalism,capitalism,political-ideology,"Other critics argue that such inequities are not due to the ethic - neutral construct of the economic system commonly known as capitalism ,","Other critics argue that such inequities are not due to the ethic-neutral construct of the economic system commonly known as capitalism, but to the ethics of those who shape and execute the system.",True,wiki
capitalism,capitalism,political-ideology,"For example , some contend that Milton Friedman 's ( human ) ethic of ' maximizing shareholder value ' creates a harmful form of capitalism , while a Millard Fuller or John Bogle ( human ) ethic of ' enough ' creates a sustainable form","For example, some contend that Milton Friedman's (human) ethic of 'maximizing shareholder value' creates a harmful form of capitalism, while a Millard Fuller or John Bogle (human) ethic of 'enough' creates a sustainable form.",True,wiki
capitalism,capitalism,political-ideology,Equitable ethics and unified ethical decision - making is theorized to create a,Equitable ethics and unified ethical decision-making is theorized to create a less damaging form of capitalism.,False,wiki
capitalism,capitalism,political-ideology,"In political philosophy , particularly Frankfurt School critical theory , advanced capitalism is the situation that","In political philosophy, particularly Frankfurt School critical theory, advanced capitalism is the situation that pertains to a harmonious and self-regulating economic system, a society in which individual freedom defines wider economic freedom or a capitalist model has been integrated and developed deeply and extensively and for a prolonged period in a freedom-based culture.",True,wiki
capitalism,capitalism,political-ideology,"The expression advanced capitalism distinguishes such societies from the historical previous forms of capitalism , mercantilism and industrial capitalism , and partially overlaps with the concepts","The expression advanced capitalism distinguishes such societies from the historical previous forms of capitalism, mercantilism and industrial capitalism, and partially overlaps with the concepts of a developed country; of the post-industrial age; of finance capitalism; of post-Fordism; of the spectacular society; of media culture; and of ""developed"", ""modern"", and ""complex"" capitalism, all variants of economic freedom.",True,wiki
capitalism,capitalism,political-ideology,"Various writers identify Antonio Gramsci as an influential early theorist of advanced capitalism , even if he did not use the term himself","Various writers identify Antonio Gramsci as an influential early theorist of advanced capitalism, even if he did not use the term himself.",True,wiki
capitalism,capitalism,political-ideology,In his writings Gramsci sought to explain how capitalism had,In his writings Gramsci sought to explain how capitalism had adapted to avoid the revolutionary overthrow that had seemed inevitable in the 19th century.,True,wiki
capitalism,capitalism,political-ideology,The culture of capitalism or capitalist culture is the set of,"The culture of capitalism or capitalist culture is the set of social practices, social norms, values and patterns of behavior that are attributed to the capitalist economic system in a capitalist society.",True,wiki
capitalism,capitalism,political-ideology,"While certain political ideologies , such as neoliberalism , assume and promote the","While certain political ideologies, such as neoliberalism, assume and promote the view that the behavior that capitalism fosters in individuals is natural to humans, anthropologist Richard Robbins opines that there is nothing natural about this behavior - people are not naturally dispossessed to accumulate wealth and driven by wage-labor.",False,wiki
capitalism,capitalism,political-ideology,"As such , proponents of capitalism would have us believe that","As such, proponents of capitalism would have us believe that business activity and the market exchange are absolute, or ""natural"", in that all other human social relations revolve around these processes (or should exist to facilitate one's ability to perform these processes).",True,wiki
capitalism,capitalism,political-ideology,Capitalism is an economic system,Capitalism is an economic system based on the private ownership of the means of production.,True,wiki
capitalism,capitalism,political-ideology,"Key parameters of debate include : the extent to which capitalism is natural , versus the extent to which it arises from specific historical","Key parameters of debate include: the extent to which capitalism is natural, versus the extent to which it arises from specific historical circumstances; whether its origins lie in towns and trade or in rural property relations; the role of class conflict; the role of the state; the extent to which capitalism is a distinctively European innovation; its relationship with European imperialism; whether technological change is a driver or merely a secondary byproduct of capitalism; and whether or not it is the most beneficial way to organize human societies.",True,wiki
capitalism,capitalism,political-ideology,Manorial arrangements inhibited the development of,Manorial arrangements inhibited the development of capitalism in a number of ways.,False,wiki
capitalism,capitalism,political-ideology,"In effect , feudalism began to lay some of the","In effect, feudalism began to lay some of the foundations necessary for the development of mercantilism, a precursor of capitalism.",False,wiki
capitalism,capitalism,political-ideology,This stifled any incipient tendency,This stifled any incipient tendency towards capitalism.,False,wiki
capitalism,capitalism,political-ideology,"However , the relatively sudden emergence of new technologies and discoveries , particularly in agriculture and exploration , facilitated the growth of","However, the relatively sudden emergence of new technologies and discoveries, particularly in agriculture and exploration, facilitated the growth of capitalism.",False,wiki
capitalism,capitalism,political-ideology,"The city of Genoa ,","The city of Genoa, one of the birthplaces of capitalism.",False,wiki
capitalism,capitalism,political-ideology,"However , capitalism took shape in Europe","However, capitalism took shape in Europe in the late Middle Ages and Renaissance.",True,wiki
capitalism,capitalism,political-ideology,The competitive nature of these city - states fostered a spirit of,"The competitive nature of these city-states fostered a spirit of innovation and risk-taking, laying the groundwork for capitalism's core principles of private ownership, market competition, and profit-seeking behavior.",False,wiki
capitalism,capitalism,political-ideology,Modern capitalism resembles some elements of,Modern capitalism resembles some elements of mercantilism in the early modern period between the 16th and 18th centuries.,True,wiki
capitalism,capitalism,political-ideology,"Noting the various pre - capitalist features of mercantilism , Karl Polanyi argued that "" mercantilism","Noting the various pre-capitalist features of mercantilism, Karl Polanyi argued that ""mercantilism, with all its tendency toward commercialization, never attacked the safeguards which protected  two basic elements of production – labor and land – from becoming the elements of commerce."" Thus mercantilist regulation was more akin to feudalism than capitalism.",False,wiki
capitalism,capitalism,political-ideology,"According to Polanyi , "" not until 1834 was a competitive labor","According to Polanyi, ""not until 1834 was a competitive labor market established in England, hence industrial capitalism as a social system cannot be said to have existed before that date.""",False,wiki
capitalism,capitalism,political-ideology,"The mid-18th century gave rise to industrial capitalism , made possible by (","The mid-18th century gave rise to industrial capitalism, made possible by (1) the accumulation of vast amounts of capital under the merchant phase of capitalism and its investment in machinery, and (2) the fact that the enclosures meant that Britain had a large population of people with no access to subsistence agriculture, who needed to buy basic commodities via the market, ensuring a mass consumer market.",True,wiki
capitalism,capitalism,political-ideology,"Industrial capitalism , which Marx dated from the last third of the 18th century , marked the development of","Industrial capitalism, which Marx dated from the last third of the 18th century, marked the development of the factory system of manufacturing, characterized by a complex division of labor between and within work processes and the routinization of work tasks.",True,wiki
capitalism,capitalism,political-ideology,Industrial capitalism finally established the global domination,Industrial capitalism finally established the global domination of the capitalist mode of production.,True,wiki
capitalism,capitalism,political-ideology,"Also during this period , capitalism transformed relations between the","Also during this period, capitalism transformed relations between the British landowning gentry and peasants, giving rise to the production of cash crops for the market rather than for subsistence on a feudal manor.",True,wiki
capitalism,capitalism,political-ideology,There is an activate debate,There is an activate debate on the role of the Atlantic slavery in the emergence of industrial capitalism.,False,wiki
